Java HotSpot(TM) 64-Bit Server VM (25.291-b10) for linux-amd64 JRE (1.8.0_291-b10), built on Apr  7 2021 19:13:06 by "java_re" with gcc 7.3.0
Memory: 4k page, physical 24260116k(23207660k free), swap 12255228k(12255228k free)
CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2021-08-18T16:44:48.066+0800: 975.664: [GC (Allocation Failure) [PSYoungGen: 85248K->320K(85504K)] 136135K->51215K(280064K), 0.0020898 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-08-18T16:44:59.552+0800: 987.150: [GC (Allocation Failure) [PSYoungGen: 84288K->416K(85504K)] 135183K->51327K(280064K), 0.0069361 secs] [Times: user=0.04 sys=0.01, real=0.00 secs] 
2021-08-18T16:45:11.048+0800: 998.646: [GC (Allocation Failure) [PSYoungGen: 84384K->416K(85504K)] 135295K->51327K(280064K), 0.0068083 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2021-08-18T16:45:22.054+0800: 1009.651: [GC (Allocation Failure) [PSYoungGen: 84384K->416K(85504K)] 135295K->51327K(280064K), 0.0070267 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2021-08-18T16:45:33.062+0800: 1020.660: [GC (Allocation Failure) [PSYoungGen: 84384K->416K(85504K)] 135295K->51335K(280064K), 0.0057820 secs] [Times: user=0.04 sys=0.01, real=0.00 secs] 
2021-08-18T16:45:44.053+0800: 1031.651: [GC (Allocation Failure) [PSYoungGen: 84384K->416K(85504K)] 135303K->51351K(280064K), 0.0066929 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2021-08-18T16:45:55.054+0800: 1042.652: [GC (Allocation Failure) [PSYoungGen: 84384K->320K(85504K)] 135319K->51271K(280064K), 0.0021327 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:46:06.058+0800: 1053.656: [GC (Allocation Failure) [PSYoungGen: 84288K->384K(85504K)] 135239K->51343K(280064K), 0.0069568 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2021-08-18T16:46:17.068+0800: 1064.666: [GC (Allocation Failure) [PSYoungGen: 84352K->352K(85504K)] 135311K->51311K(280064K), 0.0019927 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-08-18T16:46:27.815+0800: 1075.413: [GC (Allocation Failure) [PSYoungGen: 84320K->608K(85504K)] 135279K->51663K(280064K), 0.0021182 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:46:37.811+0800: 1085.409: [GC (Allocation Failure) [PSYoungGen: 84576K->1216K(85504K)] 135631K->52271K(280064K), 0.0022317 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-08-18T16:46:47.829+0800: 1095.426: [GC (Allocation Failure) [PSYoungGen: 85184K->672K(85504K)] 136239K->51735K(280064K), 0.0023329 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2021-08-18T16:46:57.836+0800: 1105.434: [GC (Allocation Failure) [PSYoungGen: 84640K->864K(85504K)] 135703K->51927K(280064K), 0.0022297 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:47:08.554+0800: 1116.152: [GC (Allocation Failure) [PSYoungGen: 84832K->416K(85504K)] 135895K->51479K(280064K), 0.0046673 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:47:20.049+0800: 1127.647: [GC (Allocation Failure) [PSYoungGen: 84383K->416K(85504K)] 135447K->51551K(280064K), 0.0072168 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2021-08-18T16:47:31.052+0800: 1138.650: [GC (Allocation Failure) [PSYoungGen: 84384K->416K(85504K)] 135519K->51575K(280064K), 0.0071316 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2021-08-18T16:47:41.716+0800: 1149.314: [GC (Allocation Failure) [PSYoungGen: 84384K->384K(85504K)] 135543K->51551K(280064K), 0.0067427 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
