2022-04-17 10:52:27.795 接收deviceList：{} 
2022-04-17 10:53:45.103 接收inDepotList：ZxPlatTaskPo [Hash = 1056290084, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:46.103 接收inDepotList：ZxPlatTaskPo [Hash = 1975434303, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:47.103 接收inDepotList：ZxPlatTaskPo [Hash = 2093112136, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:48.105 接收inDepotList：ZxPlatTaskPo [Hash = 1379549877, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:49.101 接收inDepotList：ZxPlatTaskPo [Hash = 30615852, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:50.098 接收inDepotList：ZxPlatTaskPo [Hash = 1877432914, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:51.100 接收inDepotList：ZxPlatTaskPo [Hash = 1850401282, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:52.100 接收inDepotList：ZxPlatTaskPo [Hash = 1764266177, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:53.108 接收inDepotList：ZxPlatTaskPo [Hash = 410651732, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:54.103 接收inDepotList：ZxPlatTaskPo [Hash = 1083717129, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:55.107 接收inDepotList：ZxPlatTaskPo [Hash = 1491025115, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:56.101 接收inDepotList：ZxPlatTaskPo [Hash = 379482556, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:57.098 接收inDepotList：ZxPlatTaskPo [Hash = 265495121, id=null, platId=5, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
