Java HotSpot(TM) 64-Bit Server VM (25.291-b10) for linux-amd64 JRE (1.8.0_291-b10), built on Apr  7 2021 19:13:06 by "java_re" with gcc 7.3.0
Memory: 4k page, physical 32357212k(29764328k free), swap 978940k(978940k free)
CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2022-04-15T02:01:21.881+0800: 29674.460: [GC (Allocation Failure) [PSYoungGen: 84416K->400K(85504K)] 151368K->67464K(284672K), 0.0053674 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2022-04-15T02:09:21.000+0800: 30153.579: [GC (Allocation Failure) [PSYoungGen: 84368K->384K(85504K)] 151432K->67480K(284672K), 0.0049936 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2022-04-15T02:17:18.421+0800: 30631.000: [GC (Allocation Failure) [PSYoungGen: 84352K->480K(86016K)] 151448K->67584K(285184K), 0.0052094 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2022-04-15T02:25:22.931+0800: 31115.510: [GC (Allocation Failure) [PSYoungGen: 85472K->416K(86016K)] 152576K->67528K(285184K), 0.0048931 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2022-04-15T02:33:25.799+0800: 31598.379: [GC (Allocation Failure) [PSYoungGen: 85408K->480K(86016K)] 152520K->67592K(285184K), 0.0052580 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
2022-04-15T02:41:28.800+0800: 32081.379: [GC (Allocation Failure) [PSYoungGen: 85472K->240K(86016K)] 152584K->67352K(285184K), 0.0061864 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
2022-04-15T02:49:31.440+0800: 32564.019: [GC (Allocation Failure) [PSYoungGen: 85232K->480K(86016K)] 152344K->67608K(285184K), 0.0054237 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2022-04-15T02:57:34.440+0800: 33047.019: [GC (Allocation Failure) [PSYoungGen: 85472K->400K(86016K)] 152600K->67528K(285184K), 0.0058851 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2022-04-15T03:05:37.560+0800: 33530.139: [GC (Allocation Failure) [PSYoungGen: 85392K->448K(86016K)] 152520K->67576K(285184K), 0.0062666 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
2022-04-15T03:13:41.885+0800: 34014.464: [GC (Allocation Failure) [PSYoungGen: 85440K->432K(86016K)] 152568K->67560K(285184K), 0.0051628 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2022-04-15T03:21:46.573+0800: 34499.152: [GC (Allocation Failure) [PSYoungGen: 85424K->176K(86016K)] 152552K->67320K(285184K), 0.0050010 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
